,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023,abr./2023,mai./2023,jun./2023,jul./2023,ago./2023,set./2023,out./2023,nov./2023,dez./2023,jan./2024,fev./2024,mar./2024,abr./2024,mai./2024,jun./2024,jul./2024,ago./2024,set./2024,out./2024,nov./2024,dez./2024,jan./2025,fev./2025,mar./2025,abr./2025,mai./2025,jun./2025,jul./2025,ago./2025,set./2025,out./2025,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
PIS,,,,,,,,,,,,,,,"R$ 1.369,70","R$ 1.497,20","R$ 1.596,94","R$ 1.690,55","R$ 1.779,77","R$ 1.865,94","R$ 1.950,23","R$ 2.101,61","R$ 2.168,26","R$ 2.262,89","R$ 2.411,01","R$ 2.485,47","R$ 2.643,82","R$ 2.824,57","R$ 3.096,56","R$ 3.186,80","R$ 3.479,76","R$ 3.596,81","R$ 3.911,30","R$ 4.044,27","R$ 4.385,73","R$ 4.516,44","R$ 4.868,43","R$ 5.007,62","R$ 5.368,73","R$ 5.665,85","R$ 5.981,53","R$ 6.310,29","R$ 6.648,64","R$ 6.994,39","R$ 7.346,18","R$ 7.703,21","R$ 8.065,00","R$ 8.431,33","R$ 8.802,10","R$ 9.177,29","R$ 9.556,94","R$ 9.941,15","R$ 10.329,99","R$ 10.723,59","R$ 11.098,13","R$ 11.476,95","R$ 11.860,17","R$ 12.247,91","R$ 12.640,28","R$ 13.037,40","R$ 13.439,42"
INSS,,,,,,,,,,,,,,,"R$ 4.640,00","R$ 5.152,50","R$ 5.711,50","R$ 4.674,00","R$ 6.424,00","R$ 6.424,00","R$ 7.049,00","R$ 7.674,00","R$ 7.674,00","R$ 8.149,00","R$ 12.300,00","R$ 12.300,00","R$ 13.725,00","R$ 13.100,00","R$ 14.100,00","R$ 14.600,00","R$ 17.175,00","R$ 18.750,00","R$ 19.625,00","R$ 20.375,00","R$ 20.375,00","R$ 20.375,00","R$ 21.125,00","R$ 25.600,00","R$ 27.600,00","R$ 27.600,00","R$ 29.100,00","R$ 29.100,00","R$ 29.100,00","R$ 29.850,00","R$ 29.850,00","R$ 29.850,00","R$ 29.850,00","R$ 30.350,00","R$ 30.350,00","R$ 36.025,00","R$ 36.025,00","R$ 36.525,00","R$ 37.525,00","R$ 38.025,00","R$ 38.025,00","R$ 38.775,00","R$ 38.775,00","R$ 39.275,00","R$ 39.275,00","R$ 40.025,00","R$ 40.525,00"
Cofins,,,,,,,,,,,,,,,"R$ 6.321,67","R$ 6.910,17","R$ 7.370,50","R$ 7.802,54","R$ 8.214,30","R$ 8.612,04","R$ 9.001,08","R$ 9.699,74","R$ 10.007,35","R$ 10.444,11","R$ 11.127,72","R$ 11.471,39","R$ 12.202,26","R$ 13.036,47","R$ 14.291,80","R$ 14.708,31","R$ 16.060,45","R$ 16.600,67","R$ 18.052,16","R$ 18.665,84","R$ 20.241,84","R$ 20.845,10","R$ 22.469,67","R$ 23.112,07","R$ 24.778,74","R$ 26.150,06","R$ 27.607,04","R$ 29.124,41","R$ 30.686,05","R$ 32.281,82","R$ 33.905,46","R$ 35.553,26","R$ 37.223,08","R$ 38.913,83","R$ 40.625,06","R$ 42.356,71","R$ 44.108,97","R$ 45.882,22","R$ 47.676,89","R$ 49.493,50","R$ 51.222,14","R$ 52.970,54","R$ 54.739,25","R$ 56.528,79","R$ 58.339,73","R$ 60.172,64","R$ 62.028,07"
ISS,,,,,,,,,,,,,,,"R$ 4.214,45","R$ 4.606,78","R$ 4.913,67","R$ 5.201,70","R$ 5.476,20","R$ 5.741,36","R$ 6.000,72","R$ 6.466,50","R$ 6.671,56","R$ 6.962,74","R$ 7.418,48","R$ 7.647,59","R$ 8.134,84","R$ 8.690,98","R$ 9.527,86","R$ 9.805,54","R$ 10.706,96","R$ 11.067,12","R$ 12.034,77","R$ 12.443,89","R$ 13.494,56","R$ 13.896,73","R$ 14.979,78","R$ 15.408,05","R$ 16.519,16","R$ 17.433,38","R$ 18.404,69","R$ 19.416,27","R$ 20.457,37","R$ 21.521,21","R$ 22.603,64","R$ 23.702,17","R$ 24.815,39","R$ 25.942,56","R$ 27.083,37","R$ 28.237,80","R$ 29.405,98","R$ 30.588,14","R$ 31.784,59","R$ 32.995,67","R$ 34.148,09","R$ 35.313,70","R$ 36.492,83","R$ 37.685,86","R$ 38.893,16","R$ 40.115,09","R$ 41.352,05"
IRPJ,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
CSLL,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Aliquota,14%,14%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,13%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado,-R$ 20.011,-R$ 18.970,-R$ 19.553,-R$ 24.586,-R$ 17.333,-R$ 22.330,-R$ 18.653,-R$ 18.510,-R$ 7.706,-R$ 15.959,-R$ 17.362,-R$ 33.035,-R$ 54.631,-R$ 49.528,-R$ 28.448,-R$ 17.640,-R$ 13.028,-R$ 13.727,-R$ 52.533,-R$ 43.825,-R$ 36.797,-R$ 66.979,-R$ 97.138,-R$ 106.541,-R$ 207.742,-R$ 153.538,-R$ 164.811,-R$ 121.368,-R$ 129.303,-R$ 78.911,-R$ 93.895,-R$ 23.845,-R$ 31.994,R$ 7.681,-R$ 268,R$ 5.681,-R$ 107.730,R$ 57.287,R$ 84.536,R$ 115.809,R$ 150.407,R$ 192.784,R$ 222.901,R$ 286.128,R$ 323.809,R$ 357.062,R$ 393.012,R$ 364.338,R$ 260.963,R$ 459.885,R$ 503.154,R$ 540.441,R$ 576.844,R$ 620.976,R$ 650.630,R$ 714.662,R$ 758.616,R$ 790.242,R$ 819.259,R$ 767.799,R$ 653.644
Entrada de Investimento,R$ 0,R$ 0,R$ 0,R$ 0,R$ 125.000,R$ 0,,R$ 250.000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 1.500.000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0
Caixa Acumulado,R$ 268.257,R$ 249.288,R$ 229.735,R$ 205.149,R$ 312.816,R$ 290.487,R$ 99.500,R$ 330.990,R$ 323.284,R$ 307.325,R$ 289.963,R$ 256.928,R$ 202.297,R$ 152.769,R$ 124.320,R$ 106.681,R$ 93.653,R$ 1.579.926,R$ 1.527.393,R$ 1.483.568,R$ 1.446.771,R$ 1.379.792,R$ 1.282.654,R$ 1.176.112,R$ 968.370,R$ 814.832,R$ 650.021,R$ 528.653,R$ 399.351,R$ 320.439,R$ 226.544,R$ 202.699,R$ 170.705,R$ 178.385,R$ 178.117,R$ 183.798,R$ 76.068,R$ 133.355,R$ 217.891,R$ 333.700,R$ 484.107,R$ 676.892,R$ 899.792,R$ 1.185.921,R$ 1.509.730,R$ 1.866.791,R$ 2.259.803,R$ 2.624.142,R$ 2.885.105,R$ 3.344.990,R$ 3.848.144,R$ 4.388.585,R$ 4.965.429,R$ 5.586.405,R$ 6.237.035,R$ 6.951.697,R$ 7.710.314,R$ 8.500.555,R$ 9.319.815,R$ 10.087.614,R$ 10.741.257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saídas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
