,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023,abr./2023,mai./2023,jun./2023,jul./2023,ago./2023,set./2023,out./2023,nov./2023,dez./2023,jan./2024,fev./2024,mar./2024,abr./2024,mai./2024,jun./2024,jul./2024,ago./2024,set./2024,out./2024,nov./2024,dez./2024,jan./2025,fev./2025,mar./2025,abr./2025,mai./2025,jun./2025,jul./2025,ago./2025,set./2025,out./2025,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucro Bruno,R$ 83.617,R$ 88.550,R$ 95.048,R$ 99.729,R$ 107.437,R$ 117.683,R$ 121.266,R$ 130.678,R$ 150.583,R$ 162.661,R$ 166.624,R$ 188.389,R$ 165.034,R$ 165.355,R$ 178.945,R$ 191.585,R$ 205.903,R$ 215.725,R$ 225.660,R$ 235.614,R$ 257.864,R$ 261.925,R$ 274.783,R$ 296.598,R$ 301.914,R$ 326.538,R$ 353.105,R$ 392.123,R$ 403.098,R$ 446.520,R$ 461.667,R$ 505.504,R$ 524.239,R$ 573.690,R$ 593.273,R$ 642.834,R$ 661.252,R$ 716.155,R$ 759.910,R$ 802.530,R$ 852.311,R$ 899.609,R$ 949.521,R$ 998.836,R$ 1.051.711,R$ 1.101.377,R$ 1.156.920,R$ 1.207.934,R$ 1.259.673,R$ 1.314.564,R$ 1.367.658,R$ 1.421.512,R$ 1.478.561,R$ 1.534.419,R$ 1.585.726,R$ 1.641.444,R$ 1.696.630,R$ 1.750.035,R$ 1.807.905,R$ 1.865.300,R$ 1.920.971
Margem Bruta,73%,73%,74%,74%,75%,77%,76%,75%,80%,79%,75%,78%,79%,79%,78%,78%,79%,79%,79%,79%,80%,79%,79%,80%,79%,80%,81%,82%,82%,83%,83%,84%,84%,85%,85%,86%,86%,87%,87%,87%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%
Despesas,R$ 88.199,R$ 91.199,R$ 94.080,R$ 102.656,R$ 101.839,R$ 115.671,R$ 114.201,R$ 127.698,R$ 138.306,R$ 148.379,R$ 151.203,R$ 185.856,R$ 194.511,R$ 187.613,R$ 190.848,R$ 191.058,R$ 199.338,R$ 210.083,R$ 256.298,R$ 256.796,R$ 270.659,R$ 302.963,R$ 345.401,R$ 375.320,R$ 476.399,R$ 446.172,R$ 481.210,R$ 475.839,R$ 491.384,R$ 483.131,R$ 508.140,R$ 479.335,R$ 502.611,R$ 510.481,R$ 535.044,R$ 577.520,R$ 705.539,R$ 589.740,R$ 601.107,R$ 609.872,R$ 620.811,R$ 622.873,R$ 639.728,R$ 622.060,R$ 634.197,R$ 647.507,R$ 663.955,R$ 739.958,R$ 891.850,R$ 738.882,R$ 745.407,R$ 758.135,R$ 774.401,R$ 782.205,R$ 800.603,R$ 788.246,R$ 796.147,R$ 814.055,R$ 839.497,R$ 944.151,R$ 1.109.982
Salários,R$ 43.260,R$ 43.260,R$ 39.760,R$ 39.760,R$ 47.246,R$ 47.266,R$ 51.116,R$ 56.116,R$ 58.616,R$ 65.246,R$ 66.746,R$ 86.146,R$ 91.750,R$ 91.750,R$ 101.850,R$ 99.350,R$ 103.350,R$ 103.350,R$ 121.150,R$ 133.050,R$ 142.550,R$ 167.050,R$ 195.550,R$ 195.550,R$ 199.550,R$ 240.300,R$ 271.300,R$ 271.300,R$ 275.300,R$ 275.300,R$ 275.300,R$ 275.300,R$ 278.300,R$ 294.800,R$ 294.800,R$ 294.800,R$ 294.800,R$ 325.000,R$ 325.000,R$ 335.000,R$ 339.000,R$ 339.000,R$ 339.000,R$ 339.000,R$ 339.000,R$ 349.000,R$ 349.000,R$ 349.000,R$ 349.000,R$ 385.700,R$ 385.700,R$ 385.700,R$ 399.700,R$ 399.700,R$ 399.700,R$ 399.700,R$ 399.700,R$ 399.700,R$ 409.700,R$ 409.700,R$ 409.700
IRRF,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.184,R$ 1.434,R$ 944,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434,R$ 1.434
INSS,R$ 1.334,R$ 1.334,R$ 1.334,R$ 1.334,R$ 1.683,R$ 1.377,R$ 1.377,R$ 1.377,R$ 1.702,R$ 1.702,R$ 1.702,R$ 2.924,R$ 5.460,R$ 5.460,R$ 5.928,R$ 5.603,R$ 6.123,R$ 6.123,R$ 7.462,R$ 7.969,R$ 8.424,R$ 8.424,R$ 8.424,R$ 8.424,R$ 8.424,R$ 10.751,R$ 11.791,R$ 11.791,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 12.311,R$ 15.262,R$ 15.262,R$ 15.262,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 15.782,R$ 18.733,R$ 18.733,R$ 18.733,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253,R$ 19.253
FGTS,R$ 821,R$ 821,R$ 821,R$ 821,R$ 1.036,R$ 848,R$ 848,R$ 848,R$ 1.048,R$ 1.048,R$ 1.048,R$ 1.800,R$ 3.360,R$ 3.360,R$ 3.648,R$ 3.448,R$ 3.768,R$ 3.768,R$ 4.592,R$ 4.904,R$ 5.184,R$ 5.184,R$ 5.184,R$ 5.184,R$ 5.184,R$ 6.616,R$ 7.256,R$ 7.256,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 7.576,R$ 9.392,R$ 9.392,R$ 9.392,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 9.712,R$ 11.528,R$ 11.528,R$ 11.528,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848,R$ 11.848
Comissão de Vendas,,R$ 1.300,R$ 4.098,R$ 4.098,R$ 4.098,R$ 4.918,R$ 4.918,R$ 1.503,R$ 1.739,R$ 9.179,R$ 9.179,R$ 9.179,R$ 4.863,R$ 3.248,R$ 3.297,R$ 3.346,R$ 3.396,R$ 3.447,R$ 3.499,R$ 8.352,R$ 3.605,R$ 3.659,R$ 8.514,R$ 3.769,R$ 8.626,R$ 7.767,R$ 17.483,R$ 8.001,R$ 17.722,R$ 8.243,R$ 17.967,R$ 8.492,R$ 18.220,R$ 8.749,R$ 18.480,R$ 9.014,R$ 18.749,R$ 18.886,R$ 19.025,R$ 19.167,R$ 19.310,R$ 19.456,R$ 19.604,R$ 19.754,R$ 19.906,R$ 20.061,R$ 20.218,R$ 20.377,R$ 20.538,R$ 20.703,R$ 20.869,R$ 21.038,R$ 21.210,R$ 21.384,R$ 21.561,R$ 21.740,R$ 21.922,R$ 22.107,R$ 22.295,R$ 22.485,R$ 22.678
Flash,R$ 6.800,R$ 6.800,R$ 6.800,R$ 7.650,R$ 8.500,R$ 6.800,R$ 8.500,R$ 8.500,R$ 9.350,R$ 10.200,R$ 10.200,R$ 11.050,R$ 12.750,R$ 12.750,R$ 14.450,R$ 13.600,R$ 13.600,R$ 14.450,R$ 17.000,R$ 18.700,R$ 18.700,R$ 19.550,R$ 19.550,R$ 19.550,R$ 20.400,R$ 25.500,R$ 26.350,R$ 26.350,R$ 27.200,R$ 27.200,R$ 27.200,R$ 28.050,R$ 28.050,R$ 28.050,R$ 28.050,R$ 28.900,R$ 28.900,R$ 34.000,R$ 34.000,R$ 34.850,R$ 34.850,R$ 35.700,R$ 35.700,R$ 36.550,R$ 36.550,R$ 37.400,R$ 37.400,R$ 38.250,R$ 39.100,R$ 44.200,R$ 45.050,R$ 45.900,R$ 46.750,R$ 46.750,R$ 47.600,R$ 48.450,R$ 49.300,R$ 50.150,R$ 51.000,R$ 51.850,R$ 52.700
